Title,Directors,Year
Father of the Bride,Charles Shyer,1991
Lemony Snicket's A Series of Unfortunate Events,Brad Silberling,2004
V for Vendetta,James McTeigue,2005
The Pianist,Roman Polanski,2002
World Trade Center,Oliver Stone,2006
Made of Honor,Paul Weiland,2008
Duplex,Danny DeVito,2003
Shallow Hal,Bobby Farrelly,2001
Bruce Almighty,Tom Shadyac,2003
How the Grinch Stole the Christmas,Ron Howard,2000
BeetleJuice,Tim Burton (I),1988
The Lion King 1½,Bradley Raymond,2004
The Lion King,Rob Minkoff,1994
The Simpsons Movie,David Silverman (I),2007
The Other Boleyn Girl,Justin Chadwick,2008
Clueless,Amy Heckerling,1995
Olga,Jayme Monjardim,2004
Something the Lord Made,Joseph Sargent,2004
Artificial Intelligence: AI,Steven Spielberg,2001
Mission: Impossible 3,J. J. Abrams,2006
The Terminator,James Cameron,1984
Yes Man,Peyton Reed,2008
Sabrina,Billy Wilder,1954
Taking Lives,D. J. Caruso,2004
Being John Malkovich,Spike Jonze,1999
The Breakfast Club,John Hughes (I),1985
Orphan,Jaume Collet-Serra,2009
Braveheart,Mel Gibson,1995
